#SUBMITTED ID	FEATURE_TYPE	NAME	SYMBOL	UNIPROT_FUNCTION	UNIPROT_PROTEIN_FAMILY
FBgn0261549	SO0001217:protein_coding_gene	retinal degeneration A	rdgA	Required for the maintenance of phospholipid turnover within the photoreceptor.	Belongs to the eukaryotic diacylglycerol kinase family.
FBgn0004657	SO0001217:protein_coding_gene	myospheroid	mys	Integrin alpha-PS1/beta-PS is a receptor for laminin (PubMed:7972082). Integrin alpha-PS2/beta-PS is a receptor for Tig, wb and Ten-m (PubMed:7924982, PubMed:7972082, PubMed:9660786). Contributes to endodermal integrity and adhesion between the midgut epithelium and the surrounding visceral muscle (PubMed:15469969). Essential for migration of the primordial midgut cells and for maintaining, but not establishing, cell polarity in the midgut epithelium (PubMed:15469969). The two beta subunits mediate midgut migration by distinct mechanisms: beta-PS requires rhea/talin and Itgbn does not (PubMed:15469969). Required for rhea/talin correct cellular localization in the midgut (PubMed:15469969). Required for many embryonic (dorsal closure and somatic muscle attachments) and postembryonic developmental processes (attachment between cell layers of imaginal disks, organization of ommatidial arrays and flight muscle development) (PubMed:8119134, PubMed:7924982, PubMed:7972082, PubMed:10821184). Involved in the function and/or development of the olfactory system (PubMed:10821184). In the testes, essential for shv-dependent maintenance of somatic hub cells and their localization to the apical tip (PubMed:27191715). Plays a role in timely border cell migration during oogenesis (PubMed:19035354).	Belongs to the integrin beta chain family.
FBgn0028946	SO0001217:protein_coding_gene	Odorant receptor 35a	Or35a	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. Forms a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability. Involved in the behavioral responses to esters. Involved in the behavioral responses to butanol, pentanol, hexanol, octanol, propyl acetate, and butyl acetate.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or1a subfamily.
FBgn0000121	SO0001217:protein_coding_gene	Arrestin 2	Arr2	Probably plays an important role in the photoreceptor transduction.	Belongs to the arrestin family.
FBgn0052704	SO0001217:protein_coding_gene	Ionotropic receptor 8a	Ir8a	-	-
FBgn0039034	SO0001217:protein_coding_gene	Odorant receptor 94b	Or94b	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or2a subfamily.
FBgn0036080	SO0001217:protein_coding_gene	Odorant receptor 67d	Or67d	Plays a role in detection and sensitivity to pheromones and signal transduction of the fatty-acid-derived male pheromone 11-cis vaccenyl acetate (cVA). Acts in concert with Snmp and lush to capture cVA molecules on the surface of Or67d expressing olfactory dendrites and facilitate their transfer to the odorant-receptor Orco complex. Necessary to mediate behavioral responses to cVA by regulating both male and female mating behavior. Activation of Or67d neurons by cVA inhibits courtship of other males, whereas in females their activation promotes receptivity to other males. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or67d subfamily.
FBgn0046879	SO0001217:protein_coding_gene	Odorant-binding protein 56c	Obp56c	-	-
FBgn0037594	SO0001217:protein_coding_gene	Odorant receptor 85d	Or85d	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability (By similarity).	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or49a subfamily.
FBgn0034475	SO0001217:protein_coding_gene	Odorant-binding protein 56h	Obp56h	Present in the aqueous fluid surrounding olfactory sensory dendrites and are thought to aid in the capture and transport of hydrophobic odorants into and through this fluid (By similarity). May function in both olfactory and gustatory systems.	Belongs to the PBP/GOBP family.
FBgn0033573	SO0001217:protein_coding_gene	Odorant-binding protein 47a	Obp47a	-	-
FBgn0026397	SO0001217:protein_coding_gene	Odorant receptor 22b	Or22b	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. Involved in the behavioral responses to esters. Complexes with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability. They are necessary and sufficient to promote functional reconstitution of odor-evoked signaling in sensory neurons that normally respond only to carbon dioxide.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or2a subfamily.
FBgn0000028	SO0001217:protein_coding_gene	abnormal chemosensory jump 6	acj6	Modulates gene transcription; simultaneously generates both a specific activator and an inhibitor of gene transcription, capable of modulating two distinct regulatory programs during neural development. Has a role in olfactory behavior.	Belongs to the POU transcription factor family. Class-4 subfamily.
FBgn0026393	SO0001217:protein_coding_gene	Odorant receptor 43b	Or43b	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or2a subfamily.
FBgn0034470	SO0001217:protein_coding_gene	Odorant-binding protein 56d	Obp56d	Present in the aqueous fluid surrounding olfactory sensory dendrites and are thought to aid in the capture and transport of hydrophobic odorants into and through this fluid.	Belongs to the PBP/GOBP family.
FBgn0036474	SO0001217:protein_coding_gene	Odorant receptor 71a	Or71a	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability (By similarity).	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or2a subfamily.
FBgn0032096	SO0001217:protein_coding_gene	Odorant receptor 30a	Or30a	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability. Involved in the behavioral responses to propyl acetate and anisole.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or30a subfamily.
FBgn0026388	SO0001217:protein_coding_gene	Odorant receptor 46a	Or46a	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability (By similarity).	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or2a subfamily.
FBgn0039678	SO0001217:protein_coding_gene	Odorant-binding protein 99a	Obp99a	Present in the aqueous fluid surrounding olfactory sensory dendrites and are thought to aid in the capture and transport of hydrophobic odorants into and through this fluid.	Belongs to the PBP/GOBP family.
FBgn0035382	SO0001217:protein_coding_gene	Odorant receptor 63a	Or63a	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability. Involved in the behavioral responses to butyl acetate, isoamyl acetate, and hexanoic acid.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or63a subfamily.
FBgn0034865	SO0001217:protein_coding_gene	Odorant receptor 59b	Or59b	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. Forms a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability. Plays also a role in the response to N,N-Diethyl-meta-toluamide (DEET), the most widely used insect repellent worldwide.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or2a subfamily.
FBgn0086693	SO0001217:protein_coding_gene	inactive	iav	-	-
FBgn0031111	SO0001217:protein_coding_gene	Odorant-binding protein 19c	Obp19c	-	-
FBgn0016930	SO0001217:protein_coding_gene	Dual-specificity tyrosine phosphorylation-regulated kinase 2	Dyrk2	In vitro; can phosphorylate exogenous substrates on Ser and Thr residues. May have a physiological role in development being involved in cellular growth and differentiation.	Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MNB/DYRK subfamily.
FBgn0043530	SO0001217:protein_coding_gene	Odorant-binding protein 51a	Obp51a	-	-
FBgn0039033	SO0001217:protein_coding_gene	Odorant receptor 94a	Or94a	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or2a subfamily.
FBgn0041621	SO0001217:protein_coding_gene	Odorant receptor 82a	Or82a	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or1a subfamily.
FBgn0026389	SO0001217:protein_coding_gene	Odorant receptor 43a	Or43a	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. Complexes with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability. They are necessary and sufficient to promote functional reconstitution of odor-evoked signaling in sensory neurons that normally respond only to carbon dioxide. Involved in the behavioral responses to acetophenone, benzaldehyde, benzyl alcohol, cyclohexanone, and cyclohexanol.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or30a subfamily.
FBgn0041623	SO0001217:protein_coding_gene	Odorant receptor 65c	Or65c	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability (By similarity).	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or49a subfamily.
FBgn0041626	SO0001217:protein_coding_gene	Odorant receptor 19a	Or19a	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability. Involved in the preference for citrus fruits for oviposition, especially through the response to valencene, the primary ligand of Or19a. Larvae growing on citrus fruits suffer a reduced risk of parasitism since endoparasitoid wasps that parasitize larvae are strongly repelled by the smell of citrus, as well as by valencene.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or2a subfamily.
FBgn0051163	SO0001217:protein_coding_gene	Shal K[+] channel interacting protein	SKIP	-	-
FBgn0026392	SO0001217:protein_coding_gene	Odorant receptor 33a	Or33a	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability (By similarity).	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or2a subfamily.
FBgn0041625	SO0001217:protein_coding_gene	Odorant receptor 65a	Or65a	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability. Involved in olfactory communication for modulating aggression through the sensing of the male-specific pheromone 11-cis-vaccenyl acetate (cVA). Although acute exposure to cVA elicites aggression through Or67d olfactory receptor neurons (ORNs), chronic cVA exposure reduces aggression through Or65a ORNs. Moreover, cVA leads to generalized learning with mated females. It is a major component of the male cuticular hydrocarbon profile, but it is not found on virgin females. During copulation, cVA is transferred to the female in ejaculate along with sperm and peptides that decrease her sexual receptivity.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or49a subfamily.
FBgn0034471	SO0001217:protein_coding_gene	Odorant-binding protein 56e	Obp56e	-	-
FBgn0011283	SO0001217:protein_coding_gene	Odorant-binding protein 28a	Obp28a	-	-
FBgn0036078	SO0001217:protein_coding_gene	Odorant receptor 67c	Or67c	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or49a subfamily.
FBgn0037976	SO0001217:protein_coding_gene	Tachykinin	Tk	Tachykinins are active peptides which excite neurons, evoke behavioral responses, are potent vasodilators and secretagogues, and contract (directly or indirectly) many smooth muscles. Stimulates gut muscle contractions (PubMed:10801863). Required for the response to the male sex pheromone CH503 which is transferred from males to females during mating and inhibits courtship behavior by other males (PubMed:26083710). The Gr68a gustatory receptor is required for detection of the pheromone and Gr68a-expressing neurons in the male foreleg relay signals to the suboesophageal zone (SEZ) which leads to courtship suppression through release of tachykinin from a cluster of 8-10 neurons in the SEZ (PubMed:26083710).	Belongs to the tachykinin family.
FBgn0039682	SO0001217:protein_coding_gene	Odorant-binding protein 99c	Obp99c	-	-
FBgn0031110	SO0001217:protein_coding_gene	Odorant-binding protein 19b	Obp19b	-	-
FBgn0028699	SO0001217:protein_coding_gene	Rh50	Rh50	-	-
FBgn0034866	SO0001217:protein_coding_gene	Odorant receptor 59c	Or59c	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability (By similarity).	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or2a subfamily.
FBgn0041622	SO0001217:protein_coding_gene	Odorant receptor 69a	Or69a	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability (By similarity).	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or49a subfamily.
FBgn0037322	SO0001217:protein_coding_gene	Odorant receptor 83a	Or83a	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability. Involved in the behavioral responses to pentanol, ethyl acetate, and propyl acetate.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or2a subfamily.
FBgn0000253	SO0001217:protein_coding_gene	Calmodulin	Cam	Calmodulin mediates the control of a large number of enzymes, ion channels and other proteins by Ca(2+) (By similarity). Among the enzymes to be stimulated by the calmodulin-Ca(2+) complex are a number of protein kinases and phosphatases (By similarity). In photoreceptor cells, light-induced Ca(2+) influx activates calmodulin, which in turn is likely to promote Crag activity in trafficking of newly synthesized ninaE (Rh1) from the trans-Golgi network to rhabdomere membranes (PubMed:23226104). Together with Akap200, regulates PKA activity and ethanol-induced sensitivity and tolerance (PubMed:10480937, PubMed:29444420).	Belongs to the calmodulin family.
FBgn0034473	SO0001217:protein_coding_gene	Odorant receptor 56a	Or56a	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability. Specific receptor for geosmin, a microbial odorant that constitutes an ecologically relevant stimulus that alerts flies to the presence of harmful microbes and induces avoidance behavior.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or30a subfamily.
FBgn0036757	SO0001217:protein_coding_gene	Ionotropic receptor 75a	Ir75a	Odorant receptor for acetic and propionic acid. Functions as part of an olfactory receptor complex including the ionotropic receptor coreceptor Ir8a.	Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family.
FBgn0041624	SO0001217:protein_coding_gene	Odorant receptor 65b	Or65b	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability (By similarity).	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or49a subfamily.
